State,State_Region,Total_Accidents,Avg_Severity,Avg_Duration_min,Pct_Rush_Hour
AL,South,1506,2.5657370517928286,85.17497786631253,48.27
AR,South,296,3.5912162162162162,114.05275900900901,39.86
AZ,West,2748,2.1171761280931585,115.98684497816593,44.43
CA,West,17214,2.491925177181364,79.26813252778746,39.01
CO,West,1709,3.0386190754827385,106.74521162473182,44.82
CT,Northeast,1004,3.1424302788844622,121.18344953519257,43.63
DC,South,181,2.834254143646409,124.90976058931861,51.93
DE,South,263,2.9429657794676807,113.88447401774398,45.63
FL,South,8503,2.4902975420439843,92.07688070876945,47.56
GA,South,3480,3.085919540229885,104.29474137931035,43.02
IA,Midwest,470,3.1340425531914895,121.62563829787234,46.81
ID,West,79,3.2911392405063293,208.45485232067512,34.18
IL,Midwest,2948,2.6967435549525103,104.50031094527364,48.54
IN,Midwest,1177,3.1639762107051825,138.48933729821582,49.53
KS,Midwest,261,3.0421455938697317,127.41040868454662,49.43
KY,South,613,2.838499184339315,91.98045133224579,54.49
LA,South,1696,2.2788915094339623,107.53051297169812,51.47
MA,Northeast,1218,2.3136288998357966,60.02185276409414,60.02
MD,South,2150,3.17953488372093,120.75434108527132,39.81
ME,Northeast,30,3.1,167.70777777777778,53.33
MI,Midwest,2723,2.8531031950055086,93.01949443016281,45.06
MN,Midwest,1501,2.53564290473018,87.83385520763936,46.64
MO,Midwest,1179,2.9974554707379135,94.94287531806616,46.65
MS,South,217,3.0599078341013826,99.19377880184331,48.39
MT,West,106,2.688679245283019,472.2317610062893,39.62
NC,South,4072,2.4216601178781927,104.59149066797642,50.15
ND,Midwest,11,2.3636363636363638,116.84242424242424,36.36
NE,Midwest,421,2.494061757719715,119.22965162311957,58.91
NH,Northeast,140,2.657142857142857,125.39130952380953,45.71
NJ,Northeast,1655,2.95226586102719,124.80063444108761,43.63
NM,West,209,2.789473684210526,104.25909090909092,47.37
NV,West,284,2.7183098591549295,122.83914319248827,47.89
NY,Northeast,4393,2.822900068290462,102.2103232415206,44.84
OH,Midwest,2314,2.796456352636128,125.74734226447708,53.41
OK,South,985,2.068020304568528,82.80763113367173,51.68
OR,West,1355,2.7623616236162363,208.70382533825338,39.7
PA,Northeast,3857,2.8568835882810473,116.0617103102584,43.14
RI,Northeast,309,2.656957928802589,71.60711974110032,58.58
SC,South,4508,2.1721384205856253,71.58629103815439,54.1
SD,Midwest,8,3.625,636.6270833333333,37.5
TN,South,2153,2.4849047840222944,88.52364143056201,51.14
TX,South,7757,2.5005801211808687,77.8402023978342,48.2
UT,West,966,2.624223602484472,93.1530193236715,49.48
VA,South,4247,2.9182952672474687,98.19680166391963,46.36
VT,Northeast,21,3.142857142857143,148.17857142857142,76.19
WA,West,1800,2.7905555555555557,108.32857407407407,39.56
WI,Midwest,688,3.258720930232558,146.66388081395348,44.77
WV,South,125,3.32,273.8274666666667,45.6
WY,West,57,3.736842105263158,263.3754385964912,31.58
